Date,ALRS,CHMF,GAZP,GMKN,IRAO,LKOH,MGNT,MOEX,MTSS,NLMK,NVTK,PHOR,PLZL,ROSN,SBER,SNGSP,TATN,TCSG,VTBR,YDEX,IMOEX,IMOEX_DIV,IMOEX_BNDS
2019-01-03,99.99,934.2,156.28,129.93,3.976,5007.0,3576.0,84.49,240.5,157.34,1118.2,2533.0,5299.5,425.85,186.99,39.15,731.8,1002.55,171.04999999999998,1859.5,2375.6,3573.49,100.32
2019-01-04,101.55,949.7,159.15,130.7,3.97,5074.5,3600.0,84.0,248.6,155.68,1138.8,2542.0,5286.5,430.4,190.99,38.8,737.7,1004.2125,173.1,1916.0,2406.5,3619.97,100.51
2019-01-08,98.65,952.7,158.26,131.28,3.91,5039.0,3680.0,83.7,250.05,150.12,1118.2,2514.0,5134.5,423.6,191.24,38.66,723.2,1005.875,174.20000000000002,1926.5,2389.69,3602.41,100.46
2019-01-09,101.4,972.6,160.24,132.29,3.9825,5060.0,3698.5,83.93,252.0,153.78,1121.0,2521.0,5275.0,427.7,197.0,38.39,717.9,1007.5375,175.00000000000003,1960.0,2414.13,3639.25,100.49
2019-01-10,102.95,970.0,160.2,133.43,3.9425,5152.0,3830.0,84.7,256.0,154.12,1132.5,2514.0,5414.0,432.1,196.75,39.0,732.6,1009.2,175.225,1985.0,2434.15,3670.08,100.63
2019-01-11,104.0,972.5,161.0,134.37,3.96,5200.0,3827.0,88.0,252.8,154.5,1129.4,2519.0,5416.0,434.6,196.8,39.17,730.3,1010.8625,175.925,1983.0,2444.45,3685.61,100.82
2019-01-14,103.99,960.5,160.48,133.89,3.95,5200.0,3790.5,88.3,252.35,152.22,1128.9,2555.0,5372.5,427.9,196.8,39.77,725.0,1012.525,176.5,1992.5,2440.15,3679.13,100.87
2019-01-15,104.05,954.8,158.15,133.89,3.9365,5195.0,3920.0,88.86,252.45,150.58,1130.8,2572.0,5365.0,424.35,198.0,40.465,721.0,1014.1875,177.32500000000002,1999.5,2439.55,3678.22,100.88
2019-01-16,104.6,953.1,156.9,131.8,3.956,5129.0,3970.0,90.1,254.75,150.62,1124.9,2566.0,5339.5,421.0,201.26,40.63,722.0,1015.85,178.25,1980.0,2434.6,3670.76,100.98
2019-01-17,102.22,953.2,157.1,132.82,3.931,5184.5,4155.0,90.05,255.25,151.5,1127.5,2570.0,5400.0,415.9,203.32,40.79,734.1,1017.5125,178.525,1993.5,2447.64,3690.42,100.99
2019-01-18,103.5,954.8,159.2,133.59,3.86,5193.5,4152.0,93.33,257.5,152.14,1130.0,2560.0,5370.0,419.7,208.44,41.175,741.0,1019.175,185.5,2044.5,2473.61,3729.58,100.98
2019-01-21,102.55,950.0,158.3,133.53,3.85,5200.0,4140.0,94.7,260.0,151.72,1122.0,2580.0,5330.0,422.3,207.17,41.14,735.4,1020.8375,184.45,2044.5,2468.25,3721.5,101.08
2019-01-22,100.0,952.3,158.5,133.06,3.81,5186.0,4200.0,94.4,258.55,149.9,1116.4,2568.0,5398.0,416.9,207.95,41.325,750.5,1022.5,185.5,2051.0,2468.73,3722.22,101.1
2019-01-23,100.6,945.8,159.9,133.78,3.859,5205.5,4300.0,94.4,264.45,149.08,1124.0,2577.0,5400.0,419.9,210.4,41.2,784.0,1024.1625,187.675,2060.0,2491.49,3756.54,101.18
2019-01-24,101.0,926.0,160.9,133.69,3.8925,5196.5,4256.0,91.8,263.5,146.74,1098.3,2553.0,5359.0,408.5,212.2,40.8,772.9,1025.825,184.625,2083.0,2482.71,3743.3,101.11
2019-01-25,100.64,951.0,162.82,133.12,3.87,5215.0,4191.0,91.49,261.0,148.82,1115.0,2573.0,5390.0,414.0,212.0,40.59,798.9,1027.4875,184.8,2152.0,2498.23,3766.7,101.24
2019-01-28,98.8,952.5,160.56,130.89,3.848,5165.0,4147.0,90.5,257.8,149.78,1118.6,2579.0,5371.5,411.2,209.7,40.255,791.4,1029.15,184.7,2167.0,2476.81,3734.4,101.31
2019-01-29,97.23,956.9,162.95,132.6,3.8605,5196.5,4188.0,91.8,259.55,150.68,1133.5,2580.0,5550.0,412.9,213.61,40.8,798.8,1030.8125,187.1,2152.0,2498.35,3766.88,101.23
2019-01-30,97.11,976.2,165.4,136.39,3.85,5227.0,4164.0,91.9,261.1,153.14,1139.3,2582.0,5548.0,415.8,213.14,40.865,806.9,1032.475,187.4,2157.0,2511.86,3787.25,101.38
2019-01-31,98.56,998.5,162.82,135.96,3.825,5272.5,4155.0,92.82,260.75,152.02,1145.0,2583.0,5494.0,411.25,217.9,40.57,806.9,1034.1375,188.85,2212.0,2521.1,3801.18,101.38
2019-02-01,99.5,1014.8,163.33,135.34,3.88,5319.5,4133.0,93.5,261.55,157.2,1125.2,2529.0,5521.5,411.95,216.29,40.535,808.1,1035.8,189.575,2197.2,2521.7,3802.82,101.39
2019-02-04,97.78,1029.0,163.2,135.0,3.85,5350.0,4130.0,92.7,263.25,158.42,1138.0,2518.0,5490.5,411.0,215.5,40.6,803.2,1037.4625,191.725,2212.0,2523.52,3805.57,101.5
2019-02-05,98.89,1028.8,164.25,135.88,3.846,5435.0,4054.0,91.7,264.95,158.46,1143.4,2528.0,5526.5,428.5,217.85,40.85,810.0,1039.125,191.05,2250.8,2547.27,3841.38,101.52
2019-02-06,99.5,1019.0,163.21,136.9,3.814,5461.0,4025.5,91.5,263.15,160.42,1126.4,2525.0,5530.0,421.55,216.59,40.945,804.0,1040.7875,188.05,2244.0,2539.73,3830.01,101.61
2019-02-07,100.08,1026.0,160.39,136.5,3.767,5385.0,4029.5,90.07,261.8,159.0,1130.0,2518.0,5475.5,411.55,211.01,40.7,804.7,1042.45,185.05,2192.2,2509.89,3785.01,101.6
2019-02-08,99.6,1022.2,159.8,137.32,3.868,5386.0,4039.5,90.7,255.0,157.34,1127.6,2509.0,5440.0,411.6,210.43,40.55,787.3,1044.1125,185.65,2163.4,2502.82,3774.35,101.57
2019-02-11,99.5,1031.4,161.29,137.02,3.874,5419.5,4035.0,90.3,251.55,157.64,1114.2,2509.0,5300.0,410.5,214.0,40.39,780.0,1045.775,188.0,2196.0,2510.22,3785.51,101.68
2019-02-12,98.33,1035.0,163.68,137.8,3.9,5439.0,4035.0,89.94,255.35,157.4,1121.2,2500.0,5300.0,414.5,219.1,40.52,784.5,1047.4375,189.50000000000003,2230.0,2533.32,3820.35,101.73
2019-02-13,96.97,1011.8,159.27,135.52,3.892,5351.0,3988.0,88.8,254.1,154.86,1095.0,2471.0,5213.5,401.6,213.9,39.985,761.6,1049.1,184.925,2258.0,2485.76,3748.62,101.71
2019-02-14,96.05,1014.0,155.15,137.4,3.8385,5360.5,3895.5,89.12,257.2,154.86,1090.6,2521.0,5320.0,394.85,204.43,40.32,763.9,1050.7625,180.2,2264.0,2460.82,3711.01,101.75
2019-02-15,96.85,1024.2,159.04,137.5,3.885,5426.0,3896.0,90.15,260.45,157.24,1087.4,2508.0,5344.5,403.5,208.0,40.32,790.3,1052.425,183.0,2200.2,2490.16,3755.26,101.63
